R1/R2
Excited states (eigenvectors of M)

========================================
STATE 1  E = -1.860537937921
========================================
Excitations | Coefficients
4^, 27^, 3	| 1.0736027788452519e-14
6^, 25^, 3	| 8.076830220306403e-14
6^, 27^, 3	| -0.023927365262517424

========================================
STATE 20  E = -1.036217998173
========================================
Excitations | Coefficients
4^, 0	| 0.0449850176461724
6^, 0	| 1.119469769624877e-14
5^, 1	| -0.04404887006900696
7^, 1	| -7.341988124037367e-15
4^, 2	| -5.923478185035353e-15
6^, 2	| 0.19152120479887516
5^, 3	| 8.695171826915054e-15
7^, 3	| -0.18673077004108554
4^, 05^, 1	| -0.5637226161309221
4^, 07^, 1	| -2.4263183795775732e-14
6^, 05^, 1	| 2.2637614826111538e-14
6^, 07^, 1	| 0.14598671248205952
4^, 06^, 2	| 0.10654142699941507
4^, 05^, 3	| -9.407705963095986e-15
4^, 07^, 3	| 0.040118908432627956
6^, 05^, 3	| -0.14756312931506504
6^, 07^, 3	| -1.605361907738886e-14
5^, 14^, 2	| -5.491236982550137e-15
5^, 16^, 2	| 0.04186228469283949
7^, 14^, 2	| -0.14728414017230113
7^, 16^, 2	| -1.9689220009943817e-14
5^, 17^, 3	| 0.10632479889180027
4^, 25^, 3	| -0.02080826368939711
4^, 27^, 3	| 2.231100743551403e-14
6^, 25^, 3	| -1.5547905150221715e-14
6^, 27^, 3	| 0.7179648247436345

========================================
STATE 21  E = -1.032042924168
========================================
Excitations | Coefficients
4^, 0	| -8.461348905464202e-15
6^, 0	| -0.03384210620286482
5^, 1	| -1.825809713343096e-15
7^, 1	| 0.03431104228334242
4^, 2	| 0.015393016746604132
6^, 2	| 5.324664353372524e-16
5^, 3	| -0.01566416062691283
7^, 3	| 9.718658814838398e-15
4^, 05^, 1	| 1.0357623992244615e-14
4^, 07^, 1	| -0.48162101875703317
6^, 05^, 1	| 0.481565342606957
6^, 07^, 1	| -1.1352279186848599e-15
4^, 06^, 2	| 8.708066972921913e-15
4^, 05^, 3	| 0.16259946172161882
4^, 07^, 3	| -3.653935607848682e-15
6^, 05^, 3	| -2.1878170346882444e-14
6^, 07^, 3	| -0.4854991821803262
5^, 14^, 2	| -0.16259128287343189
5^, 16^, 2	| -5.818112450723305e-15
7^, 14^, 2	| 3.409789016588749e-14
7^, 16^, 2	| 0.48556039753530555
5^, 17^, 3	| -1.000030222402315e-14
4^, 25^, 3	| 3.011443781107731e-15
4^, 27^, 3	| 0.06698841517863259
6^, 25^, 3	| -0.06701384099286113
6^, 27^, 3	| -1.4183913045629455e-14

========================================
STATE 22  E = -1.019461240459
========================================
Excitations | Coefficients
4^, 0	| 4.82676785085311e-16
6^, 0	| 0.020756098261167623
5^, 1	| 8.325111692654134e-15
7^, 1	| 0.02036143677586938
4^, 2	| -0.005987365912599456
6^, 2	| -1.088378348776708e-14
5^, 3	| -0.005987247862087032
7^, 3	| 2.9635019285773597e-15
4^, 05^, 1	| -3.370748790800467e-14
4^, 07^, 1	| -0.3081062434760952
6^, 05^, 1	| -0.308165292445952
6^, 07^, 1	| -4.842542465496836e-15
4^, 06^, 2	| 5.562783099145573e-16
4^, 05^, 3	| 0.17558876456535055
4^, 07^, 3	| -2.2272469554078188e-14
6^, 05^, 3	| 1.9975280093051847e-14
6^, 07^, 3	| 0.6087644498661571
5^, 14^, 2	| 0.17559979716146337
5^, 16^, 2	| -4.713386859068596e-15
7^, 14^, 2	| -8.029245018415707e-15
7^, 16^, 2	| 0.6087157159500705
5^, 17^, 3	| 2.3784237295942713e-15
4^, 25^, 3	| -5.144129308592309e-15
4^, 27^, 3	| -0.05654185742518161
6^, 25^, 3	| -0.0565237378570913
6^, 27^, 3	| 1.4634792274391008e-14

========================================
STATE 23  E = -0.797380330008
========================================
Excitations | Coefficients
4^, 0	| -0.010101662075548237
6^, 0	| -5.521363715874205e-16
5^, 1	| 0.00963236876918163
7^, 1	| -8.53054660568205e-15
4^, 2	| 6.8053588739065465e-15
6^, 2	| 0.041905202601081847
5^, 3	| 6.237691932738096e-15
7^, 3	| -0.040899350221601
4^, 05^, 1	| 0.1718440602576417
4^, 07^, 1	| 1.1156424204548533e-14
6^, 05^, 1	| 1.8389586620465907e-14
6^, 07^, 1	| -0.45410250622643444
4^, 06^, 2	| -0.4489021445366483
4^, 05^, 3	| 5.2608524142567414e-15
4^, 07^, 3	| 0.2570207783754758
6^, 05^, 3	| 0.19185169167550917
6^, 07^, 3	| 1.0682073492984987e-14
5^, 14^, 2	| 6.18270788675075e-15
5^, 16^, 2	| 0.2570682039781319
7^, 14^, 2	| 0.19190061866354577
7^, 16^, 2	| 1.0756655366826355e-14
5^, 17^, 3	| -0.44893906640929365
4^, 25^, 3	| -0.032235422088733215
4^, 27^, 3	| 1.1585785049407653e-14
6^, 25^, 3	| 1.2327150044402644e-14
6^, 27^, 3	| 0.38828043940415663

========================================
STATE 24  E = -0.337115047821
========================================
Excitations | Coefficients
4^, 0	| -8.702517062269944e-16
6^, 0	| 0.04458661140418703
5^, 1	| 4.6428664049825736e-15
7^, 1	| -0.04511078946099754
4^, 2	| -0.058422542434268615
6^, 2	| 1.1777009387798827e-14
5^, 3	| 0.0594914285414877
7^, 3	| -4.980249069721445e-15
4^, 05^, 1	| -1.9101200671623815e-14
4^, 07^, 1	| 0.37446724568267864
6^, 05^, 1	| -0.37446763373650876
6^, 07^, 1	| -2.3544704536869322e-14
4^, 06^, 2	| 2.368824527635792e-15
4^, 05^, 3	| -0.2785374724317914
4^, 07^, 3	| 2.0747928881323125e-14
6^, 05^, 3	| -2.4775281765176938e-14
6^, 07^, 3	| -0.427438993897324
